,title,price,link
0,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6"" (39.6cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/Backlit KB/1 Yr ADP Free/3 Mon. Game Pass/Grey/1.6Kg), 83ER008DIN  ","₹52,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozNDY5ODM3NjMzMzkxMjAzOjE3MjE2NTU5OTc6c3BfYXRmOjMwMDEwMzQ5ODU4NjEzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-Warranty-83ER008DIN%2Fdp%2FB0CNVH114V%2Fref%3Dsr_1_1_sspa%3Fcrid%3D90IDMGCNQ28V%26dib%3DeyJ2IjoiMSJ9.AeiGbFXyCURID9x2n--3FgKLs-WlE8yDSsYWx_W3MCoW-_LW77YZRX4IuZ4Hm3lP_0q-HnFpsjqs-5WZypKGw_pjeGJgDzlnQ493QYrydCAeUs5dXmlMLKxjrKfZ_QLyITJUMFqhSez9NgUV-iMBwtvpaR_u2Iy6qx8i4InbKywEAZ7Kd1lTNuzpr92ReiH4HX6UNEfRmCOyVfEOkH75M3FxBIQupKNLBWCJyMB8kwg.oesMpGkyk5LpvBnaH0ofp6gWPs4P1xKIE82oO07ozis%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721655997%26sprefix%3Dlaptop%252Caps%252C248%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Lenovo [Smartchoice] LOQ 12th Gen Intel Core i5-12450HX /39.6cm/ 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/ RTX 3050 6GB Graphics/100% sRGB/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS003UIN  ","₹65,980",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4ODQ2MzU1MTM2OTQ0MjAzOjE3MjE2NTU5OTc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE2NzA4OTQ1OTMzMjo6NDo6&url=%2FLenovo-Smartchoice-i5-12450HX-Graphics-83GS003UIN%2Fdp%2FB0CX8XPKWJ%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.85e046b2-1010-4183-b7b7-f25119863240%253Aamzn1.sym.85e046b2-1010-4183-b7b7-f25119863240%26crid%3D90IDMGCNQ28V%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.5QAwv_VUEud7NrEDn6bcLcdDEDaJEpVTy1jyA2Pl0cF8QUGrv-XbQ9HNvrs5mnFU78V5BXlpG1_eQQlPfXe6jg.-BD9QjRjdC8OH8l5k4aGfdeS2uIzBZbLXprw0Wyuixc%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CX8XPKWJ%26pd_rd_r%3D44c9b6c8-2f8f-4061-80d9-650f1292759f%26pd_rd_w%3DqY5rn%26pd_rd_wg%3DKsBsH%26pf_rd_p%3D85e046b2-1010-4183-b7b7-f25119863240%26pf_rd_r%3DEHSWXDV4DAN5DBD2TKKN%26qid%3D1721655997%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C248%26sr%3D1-5-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
2,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","₹29,990",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_6?crid=90IDMGCNQ28V&dib=eyJ2IjoiMSJ9.AeiGbFXyCURID9x2n--3FgKLs-WlE8yDSsYWx_W3MCoW-_LW77YZRX4IuZ4Hm3lP_0q-HnFpsjqs-5WZypKGw_pjeGJgDzlnQ493QYrydCAeUs5dXmlMLKxjrKfZ_QLyITJUMFqhSez9NgUV-iMBwtvpaR_u2Iy6qx8i4InbKywEAZ7Kd1lTNuzpr92ReiH4HX6UNEfRmCOyVfEOkH75M3FxBIQupKNLBWCJyMB8kwg.oesMpGkyk5LpvBnaH0ofp6gWPs4P1xKIE82oO07ozis&dib_tag=se&keywords=laptop&qid=1721655997&sprefix=laptop%2Caps%2C248&sr=8-6
3,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 Whr/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","₹20,989",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_7?crid=90IDMGCNQ28V&dib=eyJ2IjoiMSJ9.AeiGbFXyCURID9x2n--3FgKLs-WlE8yDSsYWx_W3MCoW-_LW77YZRX4IuZ4Hm3lP_0q-HnFpsjqs-5WZypKGw_pjeGJgDzlnQ493QYrydCAeUs5dXmlMLKxjrKfZ_QLyITJUMFqhSez9NgUV-iMBwtvpaR_u2Iy6qx8i4InbKywEAZ7Kd1lTNuzpr92ReiH4HX6UNEfRmCOyVfEOkH75M3FxBIQupKNLBWCJyMB8kwg.oesMpGkyk5LpvBnaH0ofp6gWPs4P1xKIE82oO07ozis&dib_tag=se&keywords=laptop&qid=1721655997&sprefix=laptop%2Caps%2C248&sr=8-7
4,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 Whr/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","₹19,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=sr_1_8?crid=90IDMGCNQ28V&dib=eyJ2IjoiMSJ9.AeiGbFXyCURID9x2n--3FgKLs-WlE8yDSsYWx_W3MCoW-_LW77YZRX4IuZ4Hm3lP_0q-HnFpsjqs-5WZypKGw_pjeGJgDzlnQ493QYrydCAeUs5dXmlMLKxjrKfZ_QLyITJUMFqhSez9NgUV-iMBwtvpaR_u2Iy6qx8i4InbKywEAZ7Kd1lTNuzpr92ReiH4HX6UNEfRmCOyVfEOkH75M3FxBIQupKNLBWCJyMB8kwg.oesMpGkyk5LpvBnaH0ofp6gWPs4P1xKIE82oO07ozis&dib_tag=se&keywords=laptop&qid=1721655997&sprefix=laptop%2Caps%2C248&sr=8-8
5,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB,MSO,Thin & Light, Dual speakers (Win 11, Silver, 1.69 kg), fq5330TU  ","₹48,990",https://amazon.in//HP-i5-1235U-15-6-inch-graphics-speakers/dp/B0CTKHTNWL/ref=sr_1_9?crid=90IDMGCNQ28V&dib=eyJ2IjoiMSJ9.AeiGbFXyCURID9x2n--3FgKLs-WlE8yDSsYWx_W3MCoW-_LW77YZRX4IuZ4Hm3lP_0q-HnFpsjqs-5WZypKGw_pjeGJgDzlnQ493QYrydCAeUs5dXmlMLKxjrKfZ_QLyITJUMFqhSez9NgUV-iMBwtvpaR_u2Iy6qx8i4InbKywEAZ7Kd1lTNuzpr92ReiH4HX6UNEfRmCOyVfEOkH75M3FxBIQupKNLBWCJyMB8kwg.oesMpGkyk5LpvBnaH0ofp6gWPs4P1xKIE82oO07ozis&dib_tag=se&keywords=laptop&qid=1721655997&sprefix=laptop%2Caps%2C248&sr=8-9
6,"Dell [Smartchoice 15 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/15.6""(39.62cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant KB/Grey/1.48kg  ","₹35,990",https://amazon.in//Dell-i3-1215U-Graphic-Spill-Resistant-Keyboard/dp/B0BQJ68HHC/ref=sr_1_10?crid=90IDMGCNQ28V&dib=eyJ2IjoiMSJ9.AeiGbFXyCURID9x2n--3FgKLs-WlE8yDSsYWx_W3MCoW-_LW77YZRX4IuZ4Hm3lP_0q-HnFpsjqs-5WZypKGw_pjeGJgDzlnQ493QYrydCAeUs5dXmlMLKxjrKfZ_QLyITJUMFqhSez9NgUV-iMBwtvpaR_u2Iy6qx8i4InbKywEAZ7Kd1lTNuzpr92ReiH4HX6UNEfRmCOyVfEOkH75M3FxBIQupKNLBWCJyMB8kwg.oesMpGkyk5LpvBnaH0ofp6gWPs4P1xKIE82oO07ozis&dib_tag=se&keywords=laptop&qid=1721655997&sprefix=laptop%2Caps%2C248&sr=8-10
7,"Lenovo IdeaPad Slim 5 Intel Core Ultra 5 125H Built-in AI 14"" (35.5cm) WUXGA-OLED 400Nits Thin & Light Laptop (16GB/1TB SSD/Win 11/MSO 21/FHD+IR Cam/1Yr ADP Free/3Mon Game Pass/Grey/1.4Kg), 83DA0049IN  ","₹81,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTozNDY5ODM3NjMzMzkxMjAzOjE3MjE2NTU5OTc6c3BfbXRmOjMwMDI0MDY1NTg1MTczMjo6MDo6&url=%2FLenovo-IdeaPad-WUXGA-OLED-400Nits-83DA0049IN%2Fdp%2FB0CSPG1TJZ%2Fref%3Dsr_1_11_sspa%3Fcrid%3D90IDMGCNQ28V%26dib%3DeyJ2IjoiMSJ9.AeiGbFXyCURID9x2n--3FgKLs-WlE8yDSsYWx_W3MCoW-_LW77YZRX4IuZ4Hm3lP_0q-HnFpsjqs-5WZypKGw_pjeGJgDzlnQ493QYrydCAeUs5dXmlMLKxjrKfZ_QLyITJUMFqhSez9NgUV-iMBwtvpaR_u2Iy6qx8i4InbKywEAZ7Kd1lTNuzpr92ReiH4HX6UNEfRmCOyVfEOkH75M3FxBIQupKNLBWCJyMB8kwg.oesMpGkyk5LpvBnaH0ofp6gWPs4P1xKIE82oO07ozis%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721655997%26sprefix%3Dlaptop%252Caps%252C248%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
8,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","₹37,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozNDY5ODM3NjMzMzkxMjAzOjE3MjE2NTU5OTc6c3BfbXRmOjMwMDEwNzY0ODY4NjAzMjo6MDo6&url=%2FLenovo-IdeaPad-Laptop-Windows-82R400ERIN%2Fdp%2FB0CP2KRYLM%2Fref%3Dsr_1_12_sspa%3Fcrid%3D90IDMGCNQ28V%26dib%3DeyJ2IjoiMSJ9.AeiGbFXyCURID9x2n--3FgKLs-WlE8yDSsYWx_W3MCoW-_LW77YZRX4IuZ4Hm3lP_0q-HnFpsjqs-5WZypKGw_pjeGJgDzlnQ493QYrydCAeUs5dXmlMLKxjrKfZ_QLyITJUMFqhSez9NgUV-iMBwtvpaR_u2Iy6qx8i4InbKywEAZ7Kd1lTNuzpr92ReiH4HX6UNEfRmCOyVfEOkH75M3FxBIQupKNLBWCJyMB8kwg.oesMpGkyk5LpvBnaH0ofp6gWPs4P1xKIE82oO07ozis%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721655997%26sprefix%3Dlaptop%252Caps%252C248%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
9,"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon graphics, 720p HD camera, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), eq2182AU  ","₹39,890",https://amazon.in//HP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU/dp/B0B4N77Y34/ref=sr_1_13?crid=90IDMGCNQ28V&dib=eyJ2IjoiMSJ9.AeiGbFXyCURID9x2n--3FgKLs-WlE8yDSsYWx_W3MCoW-_LW77YZRX4IuZ4Hm3lP_0q-HnFpsjqs-5WZypKGw_pjeGJgDzlnQ493QYrydCAeUs5dXmlMLKxjrKfZ_QLyITJUMFqhSez9NgUV-iMBwtvpaR_u2Iy6qx8i4InbKywEAZ7Kd1lTNuzpr92ReiH4HX6UNEfRmCOyVfEOkH75M3FxBIQupKNLBWCJyMB8kwg.oesMpGkyk5LpvBnaH0ofp6gWPs4P1xKIE82oO07ozis&dib_tag=se&keywords=laptop&qid=1721655997&sprefix=laptop%2Caps%2C248&sr=8-13
